time,feeder,event,minutes,,
0:44:58,3,start,44.97,,
0:46:09,3,start,46.15,,
0:46:26,3,start,46.43,,
0:46:27,3,start,46.45,,
0:46:31,3,start,46.52,,
0:46:45,3,start,46.75,,
0:46:56,3,start,46.93,,
0:46:59,3,tandem,46.98,,
0:47:31,3,start,47.52,,
0:47:32,3,start,47.53,,
0:47:43,3,start,47.72,,
0:47:47,3,start,47.78,,
0:48:50,3,start,48.83,,
0:49:07,3,start,49.12,,
0:49:29,3,start,49.48,,
0:49:36,3,start,49.60,,
0:49:57,3,start,49.95,,
0:50:07,3,start,50.12,,
0:50:11,3,start,50.18,,
0:50:23,3,tandem,50.38,,
0:50:43,3,start,50.72,,
0:50:56,3,start,50.93,,
0:51:03,3,start,51.05,,
0:51:23,3,start,51.38,,
0:51:51,3,start,51.85,,
0:52:04,3,start,52.07,,
0:52:19,3,start,52.32,,
0:52:21,3,start,52.35,,
0:52:55,3,start,52.92,,
0:53:43,3,start,53.72,,
0:53:59,3,start,53.98,,
0:54:40,3,tandem,54.67,,
0:54:42,3,start,54.70,,
0:55:03,3,start,55.05,,
0:55:17,3,start,55.28,,
0:55:19,3,start,55.32,,
0:55:19,3,start,55.32,,
0:55:20,3,start,55.33,,
0:56:01,3,start,56.02,,
0:56:02,3,tandem,56.03,,
0:56:02,3,start,56.03,,
0:56:37,3,tandem,56.62,,
0:56:43,3,start,56.72,,
0:57:03,3,start,57.05,,
0:57:05,3,start,57.08,,
0:57:11,3,start,57.18,,
0:57:25,3,start,57.42,,
0:58:02,3,start,58.03,,
0:58:51,3,tandem,58.85,,
0:58:52,3,start,58.87,,
0:58:52,3,start,58.87,,
0:58:56,3,start,58.93,,
0:59:00,3,start,59.00,,
0:59:03,3,start,59.05,,
0:59:06,3,start,59.10,,
0:59:36,3,start,59.60,,
0:59:39,3,start,59.65,,
1:00:01,3,start,60.02,,
1:00:33,3,start,60.55,,
1:01:04,3,start,61.07,,
1:01:04,3,start,61.07,,
1:01:20,3,start,61.33,,
1:01:22,3,start,61.37,,
1:01:32,3,start,61.53,,
1:01:41,3,start,61.68,,
1:02:29,3,start,62.48,,
1:02:32,3,start,62.53,,
1:03:02,3,start,63.03,,
1:03:46,3,start,63.77,,
1:03:54,3,start,63.90,,
1:04:07,3,start,64.12,,
1:04:19,3,start,64.32,,
1:05:03,3,start,65.05,,
1:05:16,3,tandem,65.27,,
1:06:22,3,start,66.37,,
1:06:23,3,start,66.38,,
1:06:24,3,start,66.40,,
1:06:24,3,start,66.40,,
1:06:28,3,start,66.47,,
1:06:28,3,start,66.47,,
1:06:45,3,start,66.75,,
1:06:46,3,start,66.77,,
1:06:47,3,start,66.78,,
1:06:51,3,start,66.85,,
1:07:29,3,start,67.48,,
1:09:27,3,start,69.45,,
1:09:48,3,tandem,69.80,,
1:10:07,3,start,70.12,,
1:10:34,3,start,70.57,,
1:10:36,3,start,70.60,,
1:10:45,3,start,70.75,,
1:10:56,3,start,70.93,,
1:11:02,3,start,71.03,,
1:11:06,3,start,71.10,,
1:11:38,3,start,71.63,,
1:11:47,3,start,71.78,,
1:12:07,3,start,72.12,,
1:12:38,3,start,72.63,,
1:12:57,3,start,72.95,,
1:12:57,3,start,72.95,,
1:13:10,3,start,73.17,,
1:13:20,3,tandem,73.33,,
1:13:23,3,start,73.38,,
1:14:07,3,start,74.12,,
1:14:41,3,start,74.68,,
1:14:52,3,start,74.87,,
1:14:59,3,start,74.98,,
1:15:06,3,start,75.10,,
1:15:25,3,start,75.42,,
1:15:41,3,start,75.68,,
1:16:05,3,start,76.08,,
1:16:22,3,start,76.37,,
1:16:22,3,start,76.37,,
1:17:11,3,start,77.18,,
1:18:31,3,start,78.52,,
1:18:49,3,start,78.82,,
1:19:01,3,start,79.02,,
1:19:03,3,start,79.05,,
1:19:13,3,start,79.22,,
1:20:16,3,start,80.27,,
1:20:56,3,start,80.93,,
1:21:05,3,start,81.08,,
1:22:15,3,start,82.25,,
1:22:21,3,start,82.35,,
1:22:42,3,start,82.70,,
1:22:49,3,start,82.82,,
1:23:12,3,start,83.20,,
1:23:22,3,start,83.37,,
1:24:09,3,start,84.15,,
1:24:34,3,start,84.57,,
1:25:08,3,start,85.13,,
1:25:55,3,start,85.92,,
1:25:55,3,start,85.92,,
1:26:30,3,start,86.50,,
1:26:41,3,start,86.68,,
1:27:00,3,start,87.00,,
1:28:25,3,start,88.42,,
1:28:42,3,start,88.70,,
1:29:29,3,start,89.48,,
